unique_id,age,height,weight,gender,exercise_name,body_part,type_of_muscle,sets,recommendation,BMI,BMI_Result
1,32,172,68,Male,Bench Press,Chest,Compound,4,Muscle Gain,22.98,Normal Weight
1,32,172,68,Male,Squats,Legs,Compound,5,Muscle Gain,22.98,Normal Weight
1,32,172,68,Male,Deadlift,Back,Compound,4,Muscle Gain,22.98,Normal Weight
1,32,172,68,Male,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,22.98,Normal Weight
1,32,172,68,Male,Barbell Rows,Back,Compound,4,Muscle Gain,22.98,Normal Weight
2,29,167,63,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,22.56,Normal Weight
2,29,167,63,Female,Lunges,Legs,Compound,5,Muscle Gain,22.56,Normal Weight
2,29,167,63,Female,Push-ups,Chest,Compound,3,Muscle Gain,22.56,Normal Weight
2,29,167,63,Female,Plank,Core,Compound,3,Muscle Gain,22.56,Normal Weight
2,29,167,63,Female,Crunches,Core,Isolation,3,Muscle Gain,22.56,Normal Weight
3,38,178,80,Male,Leg Press,Legs,Compound,4,Muscle Gain,25.25,Overweight
3,38,178,80,Male,Barbell Curls,Biceps,Isolation,3,Muscle Gain,25.25,Overweight
3,38,178,80,Male,Hanging Leg Raises,Core,Isolation,3,Muscle Gain,25.25,Overweight
3,38,178,80,Male,Dips,Triceps,Compound,4,Muscle Gain,25.25,Overweight
3,38,178,80,Male,Glute Bridges,Glutes,Compound,4,Muscle Gain,25.25,Overweight
4,44,173,90,Female,Plank,Core,Compound,3,Muscle Gain,30.07,Obesity
4,44,173,90,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,30.07,Obesity
4,44,173,90,Female,Lunges,Legs,Compound,5,Muscle Gain,30.07,Obesity
4,44,173,90,Female,Push-ups,Chest,Compound,3,Muscle Gain,30.07,Obesity
4,44,173,90,Female,Crunches,Core,Isolation,3,Muscle Gain,30.07,Obesity
5,55,180,95,Male,Deadlift,Back,Compound,4,Muscle Gain,29.32,Overweight
5,55,180,95,Male,Barbell Rows,Back,Compound,4,Muscle Gain,29.32,Overweight
5,55,180,95,Male,Squats,Legs,Compound,5,Muscle Gain,29.32,Overweight
5,55,180,95,Male,Bench Press,Chest,Compound,4,Muscle Gain,29.32,Overweight
5,55,180,95,Male,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,29.32,Overweight
6,37,165,70,Female,Plank,Core,Compound,3,Muscle Gain,25.71,Overweight
6,37,165,70,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.71,Overweight
6,37,165,70,Female,Lunges,Legs,Compound,5,Muscle Gain,25.71,Overweight
6,37,165,70,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.71,Overweight
6,37,165,70,Female,Crunches,Core,Isolation,3,Muscle Gain,25.71,Overweight
7,28,170,60,Male,Deadlift,Back,Compound,4,Muscle Gain,20.76,Normal Weight
7,28,170,60,Male,Barbell Rows,Back,Compound,4,Muscle Gain,20.76,Normal Weight
7,28,170,60,Male,Bench Press,Chest,Compound,4,Muscle Gain,20.76,Normal Weight
7,28,170,60,Male,Squats,Legs,Compound,5,Muscle Gain,20.76,Normal Weight
7,28,170,60,Male,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,20.76,Normal Weight
8,33,160,65,Female,Lunges,Legs,Compound,5,Muscle Gain,25.39,Overweight
8,33,160,65,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.39,Overweight
8,33,160,65,Female,Plank,Core,Compound,3,Muscle Gain,25.39,Overweight
8,33,160,65,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.39,Overweight
8,33,160,65,Female,Crunches,Core,Isolation,3,Muscle Gain,25.39,Overweight
9,46,175,80,Male,Hanging Leg Raises,Core,Isolation,3,Muscle Gain,26.12,Overweight
9,46,175,80,Male,Dips,Triceps,Compound,4,Muscle Gain,26.12,Overweight
9,46,175,80,Male,Barbell Curls,Biceps,Isolation,3,Muscle Gain,26.12,Overweight
9,46,175,80,Male,Leg Press,Legs,Compound,4,Muscle Gain,26.12,Overweight
9,46,175,80,Male,Glute Bridges,Glutes,Compound,4,Muscle Gain,26.12,Overweight
10,30,168,70,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,24.8,Normal Weight
10,30,168,70,Female,Lunges,Legs,Compound,5,Muscle Gain,24.8,Normal Weight
10,30,168,70,Female,Push-ups,Chest,Compound,3,Muscle Gain,24.8,Normal Weight
10,30,168,70,Female,Plank,Core,Compound,3,Muscle Gain,24.8,Normal Weight
10,30,168,70,Female,Crunches,Core,Isolation,3,Muscle Gain,24.8,Normal Weight
11,35,172,75,Male,Squats,Legs,Compound,5,Muscle Gain,25.35,Overweight
11,35,172,75,Male,Deadlift,Back,Compound,4,Muscle Gain,25.35,Overweight
11,35,172,75,Male,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,25.35,Overweight
11,35,172,75,Male,Barbell Rows,Back,Compound,4,Muscle Gain,25.35,Overweight
11,35,172,75,Male,Bench Press,Chest,Compound,4,Muscle Gain,25.35,Overweight
12,40,165,68,Female,Leg Press,Legs,Compound,4,Muscle Gain,25.03,Overweight
12,40,165,68,Female,Plank,Core,Compound,3,Muscle Gain,25.03,Overweight
12,40,165,68,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.03,Overweight
12,40,165,68,Female,Lunges,Legs,Compound,5,Muscle Gain,25.03,Overweight
12,40,165,68,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.03,Overweight
13,50,178,85,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,26.82,Overweight
13,50,178,85,Male,Lunges,Legs,Compound,5,Muscle Gain,26.82,Overweight
13,50,178,85,Male,Push-ups,Chest,Compound,3,Muscle Gain,26.82,Overweight
13,50,178,85,Male,Plank,Core,Compound,3,Muscle Gain,26.82,Overweight
13,50,178,85,Male,Crunches,Core,Isolation,3,Muscle Gain,26.82,Overweight
14,28,170,65,Female,Bench Press,Chest,Compound,4,Muscle Gain,22.49,Normal Weight
14,28,170,65,Female,Squats,Legs,Compound,5,Muscle Gain,22.49,Normal Weight
14,28,170,65,Female,Deadlift,Back,Compound,4,Muscle Gain,22.49,Normal Weight
14,28,170,65,Female,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,22.49,Normal Weight
14,28,170,65,Female,Barbell Rows,Back,Compound,4,Muscle Gain,22.49,Normal Weight
15,32,165,68,Male,Leg Press,Legs,Compound,4,Muscle Gain,25.04,Overweight
15,32,165,68,Male,Plank,Core,Compound,3,Muscle Gain,25.04,Overweight
15,32,165,68,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,25.04,Overweight
15,32,165,68,Male,Lunges,Legs,Compound,5,Muscle Gain,25.04,Overweight
15,32,165,68,Male,Push-ups,Chest,Compound,3,Muscle Gain,25.04,Overweight
16,35,175,75,Female,Push-ups,Chest,Compound,3,Muscle Gain,24.49,Normal Weight
16,35,175,75,Female,Plank,Core,Compound,3,Muscle Gain,24.49,Normal Weight
16,35,175,75,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,24.49,Normal Weight
16,35,175,75,Female,Lunges,Legs,Compound,5,Muscle Gain,24.49,Normal Weight
16,35,175,75,Female,Crunches,Core,Isolation,3,Muscle Gain,24.49,Normal Weight
17,40,180,80,Male,Barbell Rows,Back,Compound,4,Muscle Gain,24.69,Normal Weight
17,40,180,80,Male,Deadlift,Back,Compound,4,Muscle Gain,24.69,Normal Weight
17,40,180,80,Male,Bench Press,Chest,Compound,4,Muscle Gain,24.69,Normal Weight
17,40,180,80,Male,Squats,Legs,Compound,5,Muscle Gain,24.69,Normal Weight
17,40,180,80,Male,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,24.69,Normal Weight
18,45,172,70,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,23.66,Normal Weight
18,45,172,70,Female,Lunges,Legs,Compound,5,Muscle Gain,23.66,Normal Weight
18,45,172,70,Female,Push-ups,Chest,Compound,3,Muscle Gain,23.66,Normal Weight
18,45,172,70,Female,Plank,Core,Compound,3,Muscle Gain,23.66,Normal Weight
18,45,172,70,Female,Crunches,Core,Isolation,3,Muscle Gain,23.66,Normal Weight
19,50,175,85,Male,Hanging Leg Raises,Core,Isolation,3,Muscle Gain,27.76,Overweight
19,50,175,85,Male,Dips,Triceps,Compound,4,Muscle Gain,27.76,Overweight
19,50,175,85,Male,Barbell Curls,Biceps,Isolation,3,Muscle Gain,27.76,Overweight
19,50,175,85,Male,Leg Press,Legs,Compound,4,Muscle Gain,27.76,Overweight
19,50,175,85,Male,Glute Bridges,Glutes,Compound,4,Muscle Gain,27.76,Overweight
20,35,165,75,Female,Leg Press,Legs,Compound,4,Muscle Gain,27.55,Overweight
20,35,165,75,Female,Plank,Core,Compound,3,Muscle Gain,27.55,Overweight
20,35,165,75,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,27.55,Overweight
20,35,165,75,Female,Lunges,Legs,Compound,5,Muscle Gain,27.55,Overweight
20,35,165,75,Female,Push-ups,Chest,Compound,3,Muscle Gain,27.55,Overweight
21,42,170,80,Male,Plank,Core,Compound,3,Muscle Gain,27.68,Overweight
21,42,170,80,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,27.68,Overweight
21,42,170,80,Male,Lunges,Legs,Compound,5,Muscle Gain,27.68,Overweight
21,42,170,80,Male,Push-ups,Chest,Compound,3,Muscle Gain,27.68,Overweight
21,42,170,80,Male,Crunches,Core,Isolation,3,Muscle Gain,27.68,Overweight
22,36,168,70,Female,Deadlift,Back,Compound,4,Muscle Gain,24.8,Normal Weight
22,36,168,70,Female,Barbell Rows,Back,Compound,4,Muscle Gain,24.8,Normal Weight
22,36,168,70,Female,Bench Press,Chest,Compound,4,Muscle Gain,24.8,Normal Weight
22,36,168,70,Female,Squats,Legs,Compound,5,Muscle Gain,24.8,Normal Weight
22,36,168,70,Female,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,24.8,Normal Weight
23,48,175,85,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,27.76,Overweight
23,48,175,85,Male,Lunges,Legs,Compound,5,Muscle Gain,27.76,Overweight
23,48,175,85,Male,Push-ups,Chest,Compound,3,Muscle Gain,27.76,Overweight
23,48,175,85,Male,Plank,Core,Compound,3,Muscle Gain,27.76,Overweight
23,48,175,85,Male,Crunches,Core,Isolation,3,Muscle Gain,27.76,Overweight
24,55,178,90,Female,Leg Press,Legs,Compound,4,Muscle Gain,28.45,Overweight
24,55,178,90,Female,Plank,Core,Compound,3,Muscle Gain,28.45,Overweight
24,55,178,90,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,28.45,Overweight
24,55,178,90,Female,Lunges,Legs,Compound,5,Muscle Gain,28.45,Overweight
24,55,178,90,Female,Push-ups,Chest,Compound,3,Muscle Gain,28.45,Overweight
25,42,170,75,Male,Barbell Rows,Back,Compound,4,Muscle Gain,25.95,Overweight
25,42,170,75,Male,Deadlift,Back,Compound,4,Muscle Gain,25.95,Overweight
25,42,170,75,Male,Squats,Legs,Compound,5,Muscle Gain,25.95,Overweight
25,42,170,75,Male,Bench Press,Chest,Compound,4,Muscle Gain,25.95,Overweight
25,42,170,75,Male,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,25.95,Overweight
26,36,165,70,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.71,Overweight
26,36,165,70,Female,Lunges,Legs,Compound,5,Muscle Gain,25.71,Overweight
26,36,165,70,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.71,Overweight
26,36,165,70,Female,Plank,Core,Compound,3,Muscle Gain,25.71,Overweight
26,36,165,70,Female,Crunches,Core,Isolation,3,Muscle Gain,25.71,Overweight
27,50,175,85,Male,Hanging Leg Raises,Core,Isolation,3,Muscle Gain,27.76,Overweight
27,50,175,85,Male,Dips,Triceps,Compound,4,Muscle Gain,27.76,Overweight
27,50,175,85,Male,Barbell Curls,Biceps,Isolation,3,Muscle Gain,27.76,Overweight
27,50,175,85,Male,Leg Press,Legs,Compound,4,Muscle Gain,27.76,Overweight
27,50,175,85,Male,Glute Bridges,Glutes,Compound,4,Muscle Gain,27.76,Overweight
28,37,160,65,Female,Leg Press,Legs,Compound,4,Muscle Gain,25.39,Overweight
28,37,160,65,Female,Plank,Core,Compound,3,Muscle Gain,25.39,Overweight
28,37,160,65,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.39,Overweight
28,37,160,65,Female,Lunges,Legs,Compound,5,Muscle Gain,25.39,Overweight
28,37,160,65,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.39,Overweight
29,44,170,80,Male,Plank,Core,Compound,3,Muscle Gain,27.68,Overweight
29,44,170,80,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,27.68,Overweight
29,44,170,80,Male,Lunges,Legs,Compound,5,Muscle Gain,27.68,Overweight
29,44,170,80,Male,Push-ups,Chest,Compound,3,Muscle Gain,27.68,Overweight
29,44,170,80,Male,Crunches,Core,Isolation,3,Muscle Gain,27.68,Overweight
30,30,168,70,Female,Deadlift,Back,Compound,4,Muscle Gain,24.8,Normal Weight
30,30,168,70,Female,Barbell Rows,Back,Compound,4,Muscle Gain,24.8,Normal Weight
30,30,168,70,Female,Bench Press,Chest,Compound,4,Muscle Gain,24.8,Normal Weight
30,30,168,70,Female,Squats,Legs,Compound,5,Muscle Gain,24.8,Normal Weight
30,30,168,70,Female,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,24.8,Normal Weight
31,35,172,75,Male,Leg Press,Legs,Compound,4,Muscle Gain,25.35,Overweight
31,35,172,75,Male,Plank,Core,Compound,3,Muscle Gain,25.35,Overweight
31,35,172,75,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,25.35,Overweight
31,35,172,75,Male,Lunges,Legs,Compound,5,Muscle Gain,25.35,Overweight
31,35,172,75,Male,Push-ups,Chest,Compound,3,Muscle Gain,25.35,Overweight
32,40,175,85,Female,Barbell Rows,Back,Compound,4,Muscle Gain,27.76,Overweight
32,40,175,85,Female,Deadlift,Back,Compound,4,Muscle Gain,27.76,Overweight
32,40,175,85,Female,Squats,Legs,Compound,5,Muscle Gain,27.76,Overweight
32,40,175,85,Female,Bench Press,Chest,Compound,4,Muscle Gain,27.76,Overweight
32,40,175,85,Female,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,27.76,Overweight
33,36,165,70,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.71,Overweight
33,36,165,70,Female,Lunges,Legs,Compound,5,Muscle Gain,25.71,Overweight
33,36,165,70,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.71,Overweight
33,36,165,70,Female,Plank,Core,Compound,3,Muscle Gain,25.71,Overweight
33,36,165,70,Female,Crunches,Core,Isolation,3,Muscle Gain,25.71,Overweight
34,50,175,85,Male,Hanging Leg Raises,Core,Isolation,3,Muscle Gain,27.76,Overweight
34,50,175,85,Male,Dips,Triceps,Compound,4,Muscle Gain,27.76,Overweight
34,50,175,85,Male,Barbell Curls,Biceps,Isolation,3,Muscle Gain,27.76,Overweight
34,50,175,85,Male,Leg Press,Legs,Compound,4,Muscle Gain,27.76,Overweight
34,50,175,85,Male,Glute Bridges,Glutes,Compound,4,Muscle Gain,27.76,Overweight
35,37,160,65,Female,Leg Press,Legs,Compound,4,Muscle Gain,25.39,Overweight
35,37,160,65,Female,Plank,Core,Compound,3,Muscle Gain,25.39,Overweight
35,37,160,65,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.39,Overweight
35,37,160,65,Female,Lunges,Legs,Compound,5,Muscle Gain,25.39,Overweight
35,37,160,65,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.39,Overweight
36,44,170,80,Male,Plank,Core,Compound,3,Muscle Gain,27.68,Overweight
36,44,170,80,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,27.68,Overweight
36,44,170,80,Male,Lunges,Legs,Compound,5,Muscle Gain,27.68,Overweight
36,44,170,80,Male,Push-ups,Chest,Compound,3,Muscle Gain,27.68,Overweight
36,44,170,80,Male,Crunches,Core,Isolation,3,Muscle Gain,27.68,Overweight
37,30,168,70,Female,Deadlift,Back,Compound,4,Muscle Gain,24.8,Normal Weight
37,30,168,70,Female,Barbell Rows,Back,Compound,4,Muscle Gain,24.8,Normal Weight
37,30,168,70,Female,Bench Press,Chest,Compound,4,Muscle Gain,24.8,Normal Weight
37,30,168,70,Female,Squats,Legs,Compound,5,Muscle Gain,24.8,Normal Weight
37,30,168,70,Female,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,24.8,Normal Weight
38,35,172,75,Male,Leg Press,Legs,Compound,4,Muscle Gain,25.35,Overweight
38,35,172,75,Male,Plank,Core,Compound,3,Muscle Gain,25.35,Overweight
38,35,172,75,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,25.35,Overweight
38,35,172,75,Male,Lunges,Legs,Compound,5,Muscle Gain,25.35,Overweight
38,35,172,75,Male,Push-ups,Chest,Compound,3,Muscle Gain,25.35,Overweight
39,40,175,85,Female,Barbell Rows,Back,Compound,4,Muscle Gain,27.76,Overweight
39,40,175,85,Female,Deadlift,Back,Compound,4,Muscle Gain,27.76,Overweight
39,40,175,85,Female,Squats,Legs,Compound,5,Muscle Gain,27.76,Overweight
39,40,175,85,Female,Bench Press,Chest,Compound,4,Muscle Gain,27.76,Overweight
39,40,175,85,Female,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,27.76,Overweight
40,36,165,70,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.71,Overweight
40,36,165,70,Female,Lunges,Legs,Compound,5,Muscle Gain,25.71,Overweight
40,36,165,70,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.71,Overweight
40,36,165,70,Female,Plank,Core,Compound,3,Muscle Gain,25.71,Overweight
40,36,165,70,Female,Crunches,Core,Isolation,3,Muscle Gain,25.71,Overweight
41,50,175,85,Male,Hanging Leg Raises,Core,Isolation,3,Muscle Gain,27.76,Overweight
41,50,175,85,Male,Dips,Triceps,Compound,4,Muscle Gain,27.76,Overweight
41,50,175,85,Male,Barbell Curls,Biceps,Isolation,3,Muscle Gain,27.76,Overweight
41,50,175,85,Male,Leg Press,Legs,Compound,4,Muscle Gain,27.76,Overweight
41,50,175,85,Male,Glute Bridges,Glutes,Compound,4,Muscle Gain,27.76,Overweight
42,37,160,65,Female,Leg Press,Legs,Compound,4,Muscle Gain,25.39,Overweight
42,37,160,65,Female,Plank,Core,Compound,3,Muscle Gain,25.39,Overweight
42,37,160,65,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.39,Overweight
42,37,160,65,Female,Lunges,Legs,Compound,5,Muscle Gain,25.39,Overweight
42,37,160,65,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.39,Overweight
43,44,170,80,Male,Plank,Core,Compound,3,Muscle Gain,27.68,Overweight
43,44,170,80,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,27.68,Overweight
43,44,170,80,Male,Lunges,Legs,Compound,5,Muscle Gain,27.68,Overweight
43,44,170,80,Male,Push-ups,Chest,Compound,3,Muscle Gain,27.68,Overweight
43,44,170,80,Male,Crunches,Core,Isolation,3,Muscle Gain,27.68,Overweight
44,30,168,70,Female,Deadlift,Back,Compound,4,Muscle Gain,24.8,Normal Weight
44,30,168,70,Female,Barbell Rows,Back,Compound,4,Muscle Gain,24.8,Normal Weight
44,30,168,70,Female,Bench Press,Chest,Compound,4,Muscle Gain,24.8,Normal Weight
44,30,168,70,Female,Squats,Legs,Compound,5,Muscle Gain,24.8,Normal Weight
44,30,168,70,Female,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,24.8,Normal Weight
45,35,172,75,Male,Leg Press,Legs,Compound,4,Muscle Gain,25.35,Overweight
45,35,172,75,Male,Plank,Core,Compound,3,Muscle Gain,25.35,Overweight
45,35,172,75,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,25.35,Overweight
45,35,172,75,Male,Lunges,Legs,Compound,5,Muscle Gain,25.35,Overweight
45,35,172,75,Male,Push-ups,Chest,Compound,3,Muscle Gain,25.35,Overweight
46,40,175,85,Female,Barbell Rows,Back,Compound,4,Muscle Gain,27.76,Overweight
46,40,175,85,Female,Deadlift,Back,Compound,4,Muscle Gain,27.76,Overweight
46,40,175,85,Female,Squats,Legs,Compound,5,Muscle Gain,27.76,Overweight
46,40,175,85,Female,Bench Press,Chest,Compound,4,Muscle Gain,27.76,Overweight
46,40,175,85,Female,Shoulder Press,Shoulders,Isolation,4,Muscle Gain,27.76,Overweight
47,36,165,70,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.71,Overweight
47,36,165,70,Female,Lunges,Legs,Compound,5,Muscle Gain,25.71,Overweight
47,36,165,70,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.71,Overweight
47,36,165,70,Female,Plank,Core,Compound,3,Muscle Gain,25.71,Overweight
47,36,165,70,Female,Crunches,Core,Isolation,3,Muscle Gain,25.71,Overweight
48,50,175,85,Male,Hanging Leg Raises,Core,Isolation,3,Muscle Gain,27.76,Overweight
48,50,175,85,Male,Dips,Triceps,Compound,4,Muscle Gain,27.76,Overweight
48,50,175,85,Male,Barbell Curls,Biceps,Isolation,3,Muscle Gain,27.76,Overweight
48,50,175,85,Male,Leg Press,Legs,Compound,4,Muscle Gain,27.76,Overweight
48,50,175,85,Male,Glute Bridges,Glutes,Compound,4,Muscle Gain,27.76,Overweight
49,37,160,65,Female,Leg Press,Legs,Compound,4,Muscle Gain,25.39,Overweight
49,37,160,65,Female,Plank,Core,Compound,3,Muscle Gain,25.39,Overweight
49,37,160,65,Female,Leg Curls,Legs,Isolation,4,Muscle Gain,25.39,Overweight
49,37,160,65,Female,Lunges,Legs,Compound,5,Muscle Gain,25.39,Overweight
49,37,160,65,Female,Push-ups,Chest,Compound,3,Muscle Gain,25.39,Overweight
50,44,170,80,Male,Plank,Core,Compound,3,Muscle Gain,27.68,Overweight
50,44,170,80,Male,Leg Curls,Legs,Isolation,4,Muscle Gain,27.68,Overweight
50,44,170,80,Male,Lunges,Legs,Compound,5,Muscle Gain,27.68,Overweight
50,44,170,80,Male,Push-ups,Chest,Compound,3,Muscle Gain,27.68,Overweight
50,44,170,80,Male,Crunches,Core,Isolation,3,Muscle Gain,27.68,Overweight
51,30,168,70,Female,Deadlift,Back,Compound,4,Muscle Gain,24.8,Normal Weight
51,30,168,70,Female,Barbell Rows,Back,Compound,4,Muscle Gain,24.8,Normal Weight
51,30,168,70,Female,Bench Press,Chest,Compound,4,Muscle Gain,24.8,Normal Weight
